Target_genes	TCF3|Average	SRX107286|CCRF-CEM	SRX190201|GM12878	SRX10477210|Hep_G2	SRX10477211|Hep_G2	SRX8736984|hESC_derived_neural_cells	SRX8736983|hESC_H1	SRX12024651|hESC_H9	SRX12024653|hESC_H9	SRX656347|ICN12	SRX128780|Jurkat_(Clone_E6-1)	SRX10478377|K-562	SRX10478378|K-562	SRX236115|Kasumi-1	SRX1212540|RAMOS	SRX7083392|RAMOS	SRX2043230|RCH-ACV	SRX158105|RPMI_8402	SRX158106|RPMI_8402	SRX2043226|SEM	STRING
KIAA1109	46.789474	0	0	0	0	0	0	0	0	0	0	0	0	615	0	0	274	0	0	0	0
DNER	46.789474	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	765	0	0	0	0
CREBBP	46.789474	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	703	0	0	70	0
ATP5F1C	46.789474	0	117	0	0	0	0	0	0	0	0	0	0	258	0	0	425	0	0	89	0
SLC27A2	46.736842	0	219	0	0	0	0	0	0	0	0	94	0	0	0	0	429	0	0	146	0
RC3H1	46.736842	0	182	0	0	0	0	0	0	0	0	0	92	0	0	0	507	0	0	107	0
POLA2	46.736842	0	269	0	0	0	0	0	0	0	0	0	0	154	0	0	465	0	0	0	0
LOXL1	46.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	0	0	0	0
HADHB	46.736842	0	134	0	0	0	0	0	0	0	0	0	0	362	0	0	392	0	0	0	0
HADHA	46.736842	0	134	0	0	0	0	0	0	0	0	0	0	362	0	0	392	0	0	0	0
CFL1	46.736842	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	84	0
TMEM80	46.684211	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	201	0
DEAF1	46.684211	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	201	0
SULT1A1	46.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	0	231	0
LRP5L	46.631579	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	268	0	0	200	0
L3MBTL4	46.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0
CORO2A	46.631579	0	0	0	0	0	0	0	0	0	0	109	153	164	0	0	460	0	0	0	0
CCDC85B	46.631579	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0
UBL3	46.578947	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	645	0	0	88	0
STEAP1B	46.578947	0	114	0	0	0	0	0	0	0	0	150	0	0	0	0	621	0	0	0	0
CASP8AP2	46.578947	0	124	0	0	0	0	0	0	0	0	210	164	216	0	0	171	0	0	0	0
PLGRKT	46.526316	0	137	0	0	0	0	0	0	248	0	0	0	0	0	0	499	0	0	0	0
PARD3B	46.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798	0	0	86	0
KIFC3	46.526316	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	478	0	0	186	0
JAM2	46.526316	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	0	311	0
ELOVL5	46.526316	0	107	0	0	0	0	0	0	0	0	0	0	162	0	0	495	0	0	120	0
CHRFAM7A	46.526316	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	632	0	0	0	0
CDK11B	46.526316	0	0	0	0	0	0	0	0	0	0	73	139	0	0	0	672	0	0	0	0
BLOC1S5	46.526316	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	568	0	0	78	0
AQP1	46.526316	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	490	0	0	0	0
ZNF324	46.473684	0	0	0	0	0	0	0	0	0	0	0	79	325	0	0	479	0	0	0	0
SPTBN4	46.473684	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	798	0	0	0	0
NR0B2	46.473684	0	0	0	210	0	0	0	0	0	0	267	406	0	0	0	0	0	0	0	0
MARCHF4	46.473684	0	0	175	236	0	0	0	0	0	0	191	281	0	0	0	0	0	0	0	0
MAP6D1	46.473684	0	179	0	0	0	0	0	0	0	0	0	0	234	0	0	470	0	0	0	0
INTS13	46.473684	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0
FGFR1OP2	46.473684	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0
EXOSC9	46.473684	0	93	0	0	0	0	0	0	105	0	82	154	166	0	0	283	0	0	0	0
INSIG2	46.421053	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	565	0	0	0	0
ELAVL1	46.421053	0	187	0	0	0	0	0	0	0	0	0	0	248	0	0	447	0	0	0	0
NASP	46.368421	0	313	0	0	0	0	0	0	0	0	0	0	85	0	0	483	0	0	0	0
DENR	46.368421	0	213	0	0	0	0	0	0	0	0	0	113	0	0	0	555	0	0	0	0
ZNF277	46.315789	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	533	0	0	111	0
STK16	46.315789	0	77	0	66	261	0	0	0	0	0	67	91	0	0	0	318	0	0	0	0
PPP6C	46.315789	0	0	0	0	0	0	0	0	72	0	89	190	0	0	0	529	0	0	0	0
PIK3CD	46.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	150	0
METTL3	46.315789	0	0	0	0	0	0	0	0	0	0	0	0	559	0	0	321	0	0	0	0
ITGAV	46.315789	0	158	0	0	0	0	0	0	0	0	0	103	0	0	0	619	0	0	0	0
GLB1L	46.315789	0	77	0	66	261	0	0	0	0	0	67	91	0	0	0	318	0	0	0	0
FAM131A	46.315789	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	777	0	0	0	0
DOCK4	46.315789	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	533	0	0	111	0
CBL	46.315789	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	712	0	0	0	0
TEX45	46.263158	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	684	0	0	0	0
TADA2B	46.263158	0	373	0	0	0	0	0	0	0	0	0	0	284	0	0	222	0	0	0	0
PKN3	46.263158	0	232	0	0	0	0	0	0	0	0	0	0	156	0	0	491	0	0	0	0
OR8G2P	46.263158	0	0	0	0	0	0	0	0	0	0	268	441	170	0	0	0	0	0	0	0
MINPP1	46.263158	0	189	0	0	0	0	0	0	0	0	0	113	0	0	0	385	0	0	192	0
MALSU1	46.263158	0	190	0	0	0	0	0	0	127	0	0	108	0	0	0	454	0	0	0	0
LOC100289561	46.263158	0	0	0	0	0	0	0	0	0	0	0	127	191	0	0	561	0	0	0	0
HUWE1	46.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721	0	0	158	0
FEM1A	46.263158	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	595	0	0	181	0
SKP2	46.210526	0	0	0	0	0	0	0	0	155	0	0	0	122	0	0	601	0	0	0	0
RALGAPB	46.210526	0	231	0	0	0	0	0	0	0	0	0	142	0	0	0	505	0	0	0	0
MARS2	46.210526	0	100	0	0	0	0	0	0	0	0	0	0	213	0	0	490	0	0	75	0
LMBRD2	46.210526	0	0	0	0	0	0	0	0	155	0	0	0	122	0	0	601	0	0	0	0
LEKR1	46.210526	0	128	0	0	179	0	0	0	0	0	0	0	410	0	0	161	0	0	0	0
GSTM4	46.210526	0	0	0	0	0	0	0	0	0	0	85	70	0	0	0	723	0	0	0	0
FSD1	46.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	878	0	0	0	0
CPNE7	46.210526	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	761	0	0	0	0
CDK7	46.210526	0	0	0	0	0	0	0	0	120	0	0	142	232	0	0	384	0	0	0	0
APBB1	46.210526	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	707	0	0	0	0
SH3D21	46.157895	0	159	0	0	0	0	0	0	0	0	129	82	0	0	0	507	0	0	0	0
RSPRY1	46.157895	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	410	0	0	0	0
PSME3IP1	46.157895	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	410	0	0	0	0
KATNIP	46.157895	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	609	0	0	0	0
GTF3C1	46.157895	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	609	0	0	0	0
CNOT8	46.157895	0	0	0	0	0	0	0	0	0	0	0	119	216	0	0	542	0	0	0	0
ATP5MF-PTCD1	46.157895	0	147	0	0	0	0	0	0	0	0	139	166	0	0	0	321	0	0	104	0
ATP5MF	46.157895	0	147	0	0	0	0	0	0	0	0	139	166	0	0	0	321	0	0	104	0
TMED7-TICAM2	46.105263	0	0	0	0	0	0	0	0	121	0	0	0	194	0	0	561	0	0	0	0
TMED7	46.105263	0	0	0	0	0	0	0	0	121	0	0	0	194	0	0	561	0	0	0	0
TAF4	46.105263	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0
RPL8	46.105263	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0
PHYH	46.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743	0	0	133	0
ESRRA	46.105263	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	644	0	0	0	0
AP4E1	46.105263	0	91	0	0	0	0	0	0	0	0	90	159	0	0	0	536	0	0	0	0
TOMM20L	46.052632	0	193	0	0	0	0	0	0	0	0	0	0	200	0	0	338	0	0	144	0
RBM47	46.052632	0	127	0	0	0	0	0	0	0	0	298	450	0	0	0	0	0	0	0	0
NSUN4	46.052632	0	110	0	0	0	0	0	0	0	0	152	326	0	0	0	287	0	0	0	0
MIER3	46.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783	0	0	92	0
LRIG2	46.052632	0	0	0	0	0	0	0	0	0	0	129	301	0	0	0	445	0	0	0	0
IL15	46.052632	0	132	0	0	0	0	0	0	0	0	0	0	217	0	0	417	0	0	109	0
GOLGA4	46.052632	0	239	0	0	0	0	0	0	0	0	116	90	0	0	0	430	0	0	0	0
GET1	46.052632	0	0	0	0	0	0	0	0	0	0	101	165	124	0	0	485	0	0	0	0
EMC2	46.052632	0	176	0	0	0	0	0	0	0	0	0	122	0	0	0	577	0	0	0	0
ARSL	46.052632	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	584	0	0	150	0
AQP11	46.052632	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	523	0	0	0	0
ANKRD16	46.052632	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0
PSME1	46.000000	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	637	0	0	0	0
MFSD14B	46.000000	0	0	0	0	0	0	0	0	0	0	91	112	168	0	0	503	0	0	0	0
KIF1C	46.000000	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	96	0
KHNYN	46.000000	0	156	0	118	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0
KDR	46.000000	0	0	0	0	0	0	0	0	0	0	0	0	874	0	0	0	0	0	0	0
INCA1	46.000000	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	96	0
CBLN3	46.000000	0	156	0	118	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0
ZNF549	45.947368	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	703	0	0	0	0
WIPF2	45.947368	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	653	0	0	0	0
PCBP3	45.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0
H1-10	45.947368	0	447	0	0	0	0	0	0	0	0	0	0	184	0	0	242	0	0	0	0
FLNC	45.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	654	0
CTSD	45.947368	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	690	0	0	0	0
COX5B	45.947368	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	640	0	0	0	0
CIPC	45.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	176	0
ZNF501	45.894737	0	163	0	0	0	0	0	0	0	0	172	0	0	0	0	441	0	0	96	0
TSNAXIP1	45.894737	0	91	0	0	0	0	0	0	0	0	0	0	434	0	0	347	0	0	0	0
SLC4A7	45.894737	0	126	0	0	0	0	0	0	0	0	0	0	98	0	0	512	0	0	136	0
SLC18A2	45.894737	0	0	0	0	0	0	0	0	0	0	396	476	0	0	0	0	0	0	0	0
RANBP10	45.894737	0	91	0	0	0	0	0	0	0	0	0	0	434	0	0	347	0	0	0	0
PPP4C	45.894737	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	568	0	0	0	0
GTF3C5	45.894737	0	212	0	144	0	0	0	0	0	0	0	0	0	0	0	516	0	0	0	0
GALNT10	45.894737	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	0
ETNK2	45.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	0	0	0	0
DMRT1	45.894737	0	0	0	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT5A	45.842105	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	639	0	0	0	0
SPRYD3	45.842105	0	237	0	0	0	0	0	0	0	0	0	0	169	0	0	465	0	0	0	0
SMARCE1	45.842105	0	0	0	131	0	0	0	0	0	0	0	0	319	0	0	421	0	0	0	0
PDCD7	45.842105	0	128	0	0	0	0	0	0	0	0	0	144	180	0	0	419	0	0	0	0
MS4A4A	45.842105	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	101	0	0	0	0
MBIP	45.842105	0	0	86	99	0	0	0	0	0	0	0	101	295	0	0	290	0	0	0	0
KIAA2026	45.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	142	0
FBXO21	45.842105	0	156	0	0	0	0	0	0	0	0	0	78	153	0	0	484	0	0	0	0
DMKN	45.842105	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	572	0	0	0	0
CNOT1	45.842105	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	735	0	0	0	0
RPS28	45.789474	0	315	0	0	0	0	0	0	0	0	95	149	0	0	0	311	0	0	0	0
POLA1	45.789474	0	0	0	0	0	0	0	0	0	0	108	151	0	0	0	611	0	0	0	0
NDUFA7	45.789474	0	315	0	0	0	0	0	0	0	0	95	149	0	0	0	311	0	0	0	0
NDC80	45.789474	0	133	0	0	0	0	0	0	0	0	112	0	124	0	0	501	0	0	0	0
METTL4	45.789474	0	133	0	0	0	0	0	0	0	0	112	0	124	0	0	501	0	0	0	0
LYRM4	45.789474	0	102	0	0	0	0	0	0	0	0	0	106	0	0	0	568	0	0	94	0
FARS2	45.789474	0	102	0	0	0	0	0	0	0	0	0	106	0	0	0	568	0	0	94	0
DNAJC14	45.789474	0	0	0	0	0	0	0	0	0	0	0	0	633	0	0	237	0	0	0	0
TTBK2	45.736842	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	703	0	0	93	0
PXK	45.736842	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	0	0
PLCB1	45.736842	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	636	0	0	121	0
RNGTT	45.684211	0	0	0	0	0	0	0	0	0	0	134	112	263	0	0	359	0	0	0	0
PGPEP1	45.684211	0	176	0	0	0	0	0	0	0	0	0	0	312	0	0	380	0	0	0	0
GID4	45.684211	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	534	0	0	0	0
CCDC93	45.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777	0	0	91	0
ATPAF2	45.684211	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	534	0	0	0	0
SHCBP1	45.631579	0	195	0	0	0	0	0	0	0	0	0	0	154	0	0	518	0	0	0	0
PDCD5	45.631579	0	0	0	0	0	0	0	0	0	0	70	83	64	0	0	526	0	0	124	0
CCL24	45.631579	0	0	0	0	0	0	0	0	0	0	191	179	497	0	0	0	0	0	0	0
TXN2	45.578947	0	86	0	0	0	0	0	0	116	0	0	0	0	0	0	664	0	0	0	0
STN1	45.578947	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	777	0	0	0	0
MYO5A	45.578947	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	95	0
CD3E	45.578947	0	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	0	114	0	0
ARMH4	45.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	0	0	100	0
ZNF503	45.526316	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	456	0	0	116	0
SIPA1L2	45.526316	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	606	0	0	111	0
RCC1L	45.526316	0	241	0	0	0	0	0	0	0	0	0	0	168	0	0	456	0	0	0	0
MFSD8	45.526316	0	0	0	0	0	0	0	0	147	0	0	111	167	0	0	440	0	0	0	0
IGDCC4	45.526316	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	476	0	0	112	0
GNAQ	45.526316	0	0	0	0	0	0	0	0	0	0	0	0	528	0	0	337	0	0	0	0
FARSA	45.526316	0	0	0	0	0	0	0	0	0	0	219	479	0	0	0	167	0	0	0	0
ABHD18	45.526316	0	0	0	0	0	0	0	0	147	0	0	111	167	0	0	440	0	0	0	0
ZBTB5	45.473684	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	584	0	0	65	0
PSMC1	45.473684	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	319	0	0	0	0
NEO1	45.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0	0
FBXO27	45.473684	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	722	0	0	0	0
RNFT1	45.421053	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	505	0	0	0	0
PNPLA2	45.421053	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	134	0
NAIP	45.421053	0	0	0	0	0	0	0	0	0	0	0	0	863	0	0	0	0	0	0	0
LZTS3	45.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	863	0	0	0	0
BPGM	45.421053	0	318	0	0	0	0	0	0	0	0	151	140	0	0	0	254	0	0	0	0
AGFG1	45.421053	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	589	0	0	145	0
TLE4	45.368421	0	254	0	0	0	0	0	0	0	0	0	0	207	0	0	401	0	0	0	0
SYNE2	45.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721	0	0	141	0
DNPEP	45.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	0	0	0	0
DNAJC16	45.368421	0	0	0	0	0	0	0	0	192	0	113	180	0	0	0	377	0	0	0	0
ZNF280C	45.315789	0	0	0	0	0	0	0	0	67	0	112	91	0	0	0	591	0	0	0	0
VPS37B	45.315789	0	124	0	0	0	0	0	0	0	0	0	140	0	0	0	597	0	0	0	0
TRMT1L	45.315789	0	0	0	0	0	0	0	0	79	0	0	0	452	0	0	330	0	0	0	0
SWT1	45.315789	0	0	0	0	0	0	0	0	79	0	0	0	452	0	0	330	0	0	0	0
STRAP	45.315789	0	180	0	0	0	0	0	0	0	0	0	0	237	0	0	348	0	0	96	0
POLB	45.315789	0	133	0	85	0	0	0	0	0	0	0	0	111	0	0	532	0	0	0	0
NUDT16	45.315789	0	113	0	0	0	0	0	0	0	0	0	0	639	0	0	109	0	0	0	0
GPS2	45.315789	0	169	0	0	0	0	0	0	104	0	0	0	0	0	0	588	0	0	0	0
GNPAT	45.315789	0	113	0	0	0	0	0	0	0	0	0	0	123	0	0	404	0	0	221	0
FAM126A	45.315789	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0
EXOSC5	45.315789	0	0	0	0	0	0	0	0	140	0	0	141	0	0	0	580	0	0	0	0
CKAP4	45.315789	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	642	0	0	125	0
C1orf131	45.315789	0	113	0	0	0	0	0	0	0	0	0	0	123	0	0	404	0	0	221	0
BCKDHA	45.315789	0	0	0	0	0	0	0	0	140	0	0	141	0	0	0	580	0	0	0	0
TUBG2	45.263158	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	564	0	0	0	0
SUZ12	45.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	0	0	0	0
SAMM50	45.263158	0	276	0	0	0	0	0	0	0	0	0	121	104	0	0	359	0	0	0	0
RAP2C	45.263158	0	0	0	0	0	0	0	0	0	0	90	133	0	0	0	637	0	0	0	0
PMPCA	45.263158	0	146	0	0	0	0	0	0	0	0	0	91	224	0	0	399	0	0	0	0
LMO4	45.263158	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0	0
EPG5	45.263158	0	110	0	0	0	0	0	0	0	0	0	97	0	0	0	455	0	0	198	0
ENTR1	45.263158	0	146	0	0	0	0	0	0	0	0	0	91	224	0	0	399	0	0	0	0
YIF1B	45.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0
RPN2	45.210526	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	758	0	0	0	0
PLCG1	45.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	154	0
MSTO1	45.210526	0	152	0	0	0	0	0	0	0	0	159	177	0	0	0	371	0	0	0	0
MROH8	45.210526	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	758	0	0	0	0
GNB1	45.210526	0	92	0	0	0	0	0	0	0	0	0	0	167	0	0	495	0	0	105	0
FRAT1	45.210526	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	515	0	0	0	0
FAM160A2	45.210526	0	0	0	0	0	0	0	0	0	0	90	0	356	0	0	413	0	0	0	0
CACTIN	45.210526	0	245	0	0	0	0	0	0	0	0	0	96	0	0	0	518	0	0	0	0
PPP1R12B	45.157895	0	0	0	0	0	0	0	0	0	0	163	338	0	0	0	357	0	0	0	0
PPME1	45.157895	0	0	0	0	0	0	0	0	95	0	0	0	104	0	0	659	0	0	0	0
MYC	45.157895	0	322	0	0	0	0	0	0	0	0	0	103	103	0	0	330	0	0	0	0
C2CD3	45.157895	0	0	0	0	0	0	0	0	95	0	0	0	104	0	0	659	0	0	0	0
ALOX5	45.157895	0	0	0	0	0	0	0	0	0	0	0	0	598	0	0	260	0	0	0	0
INO80B	45.105263	0	0	0	0	0	0	0	0	0	0	104	198	382	0	0	173	0	0	0	0
FJX1	45.105263	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	192	0
CD93	45.105263	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	359	0	0	0	0
TRPM6	45.052632	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	240	0	0	0	0
SPEN	45.052632	0	92	0	0	0	0	0	0	0	0	0	112	0	0	0	652	0	0	0	0
RAB38	45.052632	0	0	0	0	0	0	0	0	103	0	0	0	276	0	0	477	0	0	0	0
MMP28	45.052632	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	596	0	0	0	0
MIIP	45.052632	0	399	0	0	0	0	0	0	0	0	0	94	0	0	0	363	0	0	0	0
C9orf24	45.052632	0	0	0	0	0	0	0	0	0	0	226	151	0	0	0	479	0	0	0	0
ATAT1	45.052632	0	163	0	0	0	0	0	0	127	0	0	0	198	0	0	368	0	0	0	0
ABHD16A	45.052632	0	76	0	0	0	0	0	0	0	0	0	283	0	0	0	497	0	0	0	0
WDR18	45.000000	0	108	0	0	0	0	0	0	0	0	0	0	207	0	0	540	0	0	0	0
SPOUT1	45.000000	0	252	0	0	0	0	0	0	0	0	0	0	164	0	0	439	0	0	0	0
S100A16	45.000000	0	0	0	0	0	0	0	0	0	0	121	232	355	0	0	147	0	0	0	0
RFWD3	45.000000	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	0	0
NFIB	45.000000	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	780	0	0	0	0
IPO11	45.000000	0	178	0	0	0	0	0	0	0	0	0	158	153	0	0	366	0	0	0	0
DCUN1D4	45.000000	0	0	0	0	0	0	0	0	0	0	0	0	503	0	0	352	0	0	0	0
CTNNAL1	45.000000	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	466	0	0	0	0
ANP32B	45.000000	0	158	0	0	0	0	0	0	0	0	0	97	0	0	0	600	0	0	0	0
ZBTB34	44.947368	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	755	0	0	0	0
WRAP53	44.947368	0	356	0	0	0	0	0	0	0	0	0	0	151	0	0	347	0	0	0	0
LOC100129484	44.947368	0	0	0	0	0	0	0	0	0	0	0	0	854	0	0	0	0	0	0	0
DDX27	44.947368	0	0	0	0	0	0	0	0	91	0	0	116	238	0	0	409	0	0	0	0
CDC14B	44.947368	0	0	0	76	0	0	0	0	0	0	0	0	182	0	0	403	0	0	193	0
SPOPL	44.894737	0	167	0	145	0	0	0	0	0	0	0	0	101	0	0	440	0	0	0	0
PPP1R37	44.894737	0	122	0	0	0	0	0	0	0	0	0	113	114	0	0	504	0	0	0	0
NDUFAB1	44.894737	0	0	0	88	0	0	0	0	0	0	119	112	88	0	0	446	0	0	0	0
LTB	44.894737	0	165	0	0	0	0	0	0	207	0	0	0	0	0	0	237	0	244	0	0
INPP5D	44.894737	0	0	0	0	0	0	0	0	195	0	0	0	95	0	0	563	0	0	0	0
IKBKG	44.894737	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	773	0	0	0	0
GPATCH1	44.894737	0	96	0	0	0	0	0	0	0	0	128	166	0	0	0	463	0	0	0	0
EIF3B	44.894737	0	294	0	0	0	0	0	0	0	0	0	148	0	0	0	411	0	0	0	0
CRYBG3	44.894737	0	141	0	0	0	0	0	0	0	0	0	0	284	0	0	332	0	0	96	0
CLDND1	44.894737	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0	0	0
C14orf119	44.894737	0	0	0	67	0	0	0	0	0	0	86	0	0	0	0	700	0	0	0	0
SS18L1	44.842105	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	0
PSMA7	44.842105	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	0
OVCA2	44.842105	0	167	0	0	0	0	0	0	0	0	0	96	0	0	0	589	0	0	0	0
LDLR	44.842105	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	700	0	0	0	0
H2AC16	44.842105	0	227	0	0	0	0	0	0	0	0	0	0	311	0	0	314	0	0	0	0
ECHS1	44.842105	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	766	0	0	0	0
DHX40	44.842105	0	0	0	56	0	0	0	0	92	0	132	114	0	0	0	458	0	0	0	0
TRIM28	44.789474	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0
MITD1	44.789474	0	210	0	97	0	0	0	0	0	0	0	95	163	0	0	286	0	0	0	0
IFNGR2	44.789474	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	431	0	0	0	0
CDK17	44.789474	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	665	0	0	109	0
WDR27	44.736842	0	209	0	0	0	0	0	0	0	0	0	111	0	0	0	530	0	0	0	0
SOHLH2	44.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	0	0	0	0
SLC19A1	44.736842	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	611	0	0	0	0
POLRMT	44.736842	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	330	0	0	0	0
NPC1	44.736842	0	0	0	0	0	0	0	0	0	0	0	91	152	0	0	487	0	0	120	0
NDUFA10	44.736842	0	158	0	0	0	0	0	0	0	0	66	0	0	0	0	511	0	0	115	0
HELLS	44.736842	0	127	0	0	0	0	0	0	0	0	0	0	333	0	0	390	0	0	0	0
